status,coin_index,coin_symbol,coin_name,key_derivation,hash,private_header,public_header,public_key_hash,script_hash,wallet_import_format,evm,ucid
0,82,QRK,Quarkcoin,,,,,,,,,53
0,83,TRC,Terracoin,,,,,,,,,4
1,84,GRC,Gridcoin,secp256k1,sha256,,,0x3e,0x55,0xbe,,833
1,85,AUR,Auroracoin,secp256k1,sha256,,,0x17,,0x97,,148
1,86,IXC,IXCoin,secp256k1,sha256,,,0x8a,,0x05,,13
1,87,NLG,Gulden,secp256k1,sha256,,,0x26,0x62,0x62,,254
0,88,BITB,BitBean,,,,,,,,,819
1,89,BTA,Bata,secp256k1,sha256,0xA40B91BD,0xA40C86FA,0x19,,0xa4,,945
1,90,XMY,Myriadcoin,secp256k1,sha256,,,0x32,0x09,0xb2,,182
1,91,BSD,BitSend,secp256k1,sha256,,,0x66,,0xcc,,366
1,92,UNO,Unobtanium,secp256k1,sha256,,,0x82,0x1e,0xe0,,67
0,93,MTR,MasterTrader,,,,,,,,,
0,94,GB,GoldBlocks,,,,,,,,,1285
0,95,SHM,Saham,,,,,,,,,
0,96,CRX,Chronos,,,,,,,,,1315
0,97,BIQ,Ubiquoin,,,,,,,,,
0,98,EVO,Evotion,,,,,,,,,1130
0,99,STO,SaveTheOcean,,,,,,,,,
0,100,BIGUP,BigUp,,,,,,,,,1198
1,101,GAME,GameCredits,secp256k1,sha256,,,0x26,,0xa6,,576
0,102,DLC,Dollarcoins,,,,,,,,,1395
0,103,ZYD,Zayedcoin,,,,,,,,,1389
0,104,DBIC,Dubaicoin,,,,,,,,,1186
1,105,STRAT,Stratis,secp256k1,sha256,,,0x3f,0x7d,0xbf,,1343
0,106,SH,Shilling,,,,,,,,,1394
0,107,MARS,MarsCoin,,,,,,,,,154
1,108,UBQ,Ubiq,secp256k1,keccak256,,,,,,TRUE,588
0,109,PTC,Pesetacoin,,,,,,,,,
1,110,NRO,Neurocoin,secp256k1,sha256,,,0x35,0x75,0xb5,,1717
0,111,ARK,ARK,,,,,,,,,1586
1,112,USC,Ultimate Secure Cash,secp256k1,sha256,0xEE8031E8,0xEE80286A,0x44,0x7d,0xbf,,1617
1,113,THC,Hempcoin,secp256k1,sha256,,,0x28,0x08,0xa8,,416
1,114,LINX,Linx,secp256k1,sha256,,,0x4b,,0xcb,,1724
1,115,ECN,E-coin,secp256k1,sha256,,,0x5c,0x14,0xdc,,1618
1,116,DNR,Denarius,secp256k1,sha256,,,0x1e,0x5a,0x9e,,1769
1,117,PINK,Pinkcoin,secp256k1,sha256,,,0x03,0x1c,0x83,,313
1,118,ATOM,Cosmos,secp256k1,sha256+ripemd160,,,,,,,3794
1,119,PIVX,Pivx,secp256k1,sha256,0x0221312B,0x022D2533,0x1e,0x0d,0xd4,,1169
1,120,FLASH,Flashcoin,secp256k1,sha256,,,0x44,0x82,0xc4,,1755
1,121,ZEN,Horizen,secp256k1,sha256,,,0x2089,0x2096,,,1698
1,122,PUT,Putincoin,secp256k1,sha256,,,0x37,0x14,0xb7,,1299
0,123,ZNY,BitZeny,,,,,,,,,990
0,124,UNIFY,Unify,,,,,,,,,1736
0,125,XST,StealthCoin,,,,,,,,,448
0,126,BRK,Breakout Coin,,,,,,,,,1286
1,127,XVC,Vcash,secp256k1,sha256,,,0x47,0x08,0xc7,,836
1,128,XMR,Monero,ed25519,keccak256,,,0x7F,0xC4,0x3F,,328
0,129,VOX,Voxels,,,,,,,,,
1,130,NAV,NavCoin (Legacy),secp256k1,sha256,,,0x35,0x55,0x96,,377
0,131,FCT,Factom Factoids,,,,,,,,,1087
0,132,EC,Factom Entry Credits,,,,,,,,,
1,133,ZEC,Zcash,secp256k1,sha256,,,0x1CB8,0x1CBD,,,1437
0,134,LSK,Lisk,,,,,,,,,1214
0,135,STEEM,Steem,,,,,,,,,1230
